DataHoraAbertura;NumProcesso;Cliente;Prioridade;Tecnico;DescricaoProb;ComoReproduzir;Classificacao;Departamento
06/01/2022 08:47;4733;1533;1;TE;Abertura novo ano Salários    ;Abertura  novo ano salários ;1;Cluster B
28/01/2022 16:17;5156;47;3;TE;Inventário - Fiz o lançamento das contagens do inventário, contudo, ao imprimir a lista final para verificar se estava tudo bem, constato que o programa adicionou/somou as quantidades lançadas ao que lá estava ... não havendo qualquer correção.    ;"Anexo, dois pdfs: ""Listagem Base"", onde estão as contagens físicas  a rectificar. e ""Listagem Inventário_Primavera"",  lista actual, após lançamento, com quantidades finais erradas.";2;Cluster C
11/05/2022 14:40;6458;2023;1;FS;configurar saft e compras no PAA empresa nova, e relatório único    ;configurar PAA , e relatório unico;2;Cluster C
24/08/2023 11:00;12735;2333;1;TE;Ajuda no PAA , devido ao iva zero necessito alterar um template.    ;Ajuda no PAA , devido ao iva zero necessito alterar um templet;2;Cluster C
13/07/2021 10:14;2745;1576;1;RF;"- Apoio na configuração do Software Primavera em novo computador; - Apoio na troca do servidor do software Primavera para novo computador; - Ativar antivírus em computadores novos     ";Por favor, contactar para o ;2;Cluster C
06/06/2022 11:42;6776;50;1;TE;A aplicação da AT da IES, não abre o ficheiro produzido pelo fiscal reporting.     ;A aplicação da AT da IES, não abre o ficheiro produzido pelo fiscal reporting. ;0;Cluster A
27/07/2022 10:26;7303;2361;1;PM;O funcionário 60007 da TAL faltou o mês todo, mas está a processar 1 dia de subs de alimentação    ;.;2;Cluster C
23/11/2022 17:35;8499;421;1;FS;Criação de Recibos na empresa JFAN    ;erro em anexo. Erro recorrente em todas as empresas.;1;Cluster B
06/10/2021 11:47;3576;1099;1;PM;RECURSOS HUMANOS    ;AJUDA NO PROCESSAMENTO DO FCT E FGCT;1;Cluster B
27/01/2023 15:37;9591;2361;1;FS;o funcionário 60019 da Tal tem domicilio fiscal nos Açores, mas a tx de irs dele não está a actualizar pelas novas tabelas    ;.;2;Cluster C
